code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category,special_chars_2019,special_chars_2021,special_chars_2020
CK606,CK,Architecture - Offered jointly by UCC and CIT,465.0,496.0,484.0,476.0,,,,543.0,,University College Cork (NUI),Architecture and construction,NaN,NaN,
CK701,CK,Medicine (Undergraduate Entry - HPAT required),729.0,740.0,731.0,,,,#,738.0,737.0,University College Cork (NUI),Health,#,#*,#
CK702,CK,Dentistry,590.0,613.0,613.0,613.0,*,*,,625.0,625.0,University College Cork (NUI),Health,NaN,*,*
CK703,CK,Pharmacy,577.0,589.0,590.0,589.0,,*,,613.0,613.0,University College Cork (NUI),Health,NaN,*,*
CK704,CK,Occupational Therapy,532.0,554.0,566.0,555.0,,*,,601.0,,University College Cork (NUI),Health,*,*,*
CK705,CK,Speech and Language Therapy,509.0,529.0,520.0,,,,,568.0,566.0,University College Cork (NUI),Health,NaN,*,
CK706,CK,Public Health Sciences,419.0,451.0,454.0,,,,,500.0,,University College Cork (NUI),Health,NaN,NaN,
CK707,CK,Medical and Health Sciences,510.0,543.0,542.0,541.0,,,,578.0,,University College Cork (NUI),Health,*,*,
CK710,CK,General Nursing,440.0,466.0,454.0,,*,,,498.0,497.0,University College Cork (NUI),Health,NaN,*,*
CK712,CK,Children`s and General Nursing (Integrated),499.0,520.0,533.0,,,,,565.0,,University College Cork (NUI),Health,NaN,NaN,
CK720,CK,Mental Health Nursing,398.0,429.0,423.0,,,,,455.0,452.0,University College Cork (NUI),Health,NaN,NaN,
CK730,CK,Intellectual Disability Nursing,359.0,388.0,419.0,411.0,,,,431.0,,University College Cork (NUI),Health,NaN,NaN,
CK740,CK,Midwifery,444.0,474.0,484.0,,,,,509.0,,University College Cork (NUI),Health,NaN,*,
CK791,CK,Medicine  - Graduate Entry (GAMSAT required),58.0,59.0,57.0,,*,,#,60.0,60.0,University College Cork (NUI),Health,#*,#*,*#
CK116,CK,Sports Studies and Physical Education ,499.0,520.0,,,,,,,,University College Cork (NUI),,NaN,NaN,
CK502,CK,Food Marketing and Entrepreneurship ,433.0,456.0,,,,,,,,University College Cork (NUI),,NaN,NaN,
CK506,CK,International Development and Food Policy ,367.0,410.0,,,,,,,,University College Cork (NUI),,NaN,NaN,
CM001,CM,Education - Primary Teaching,452.0,462.0,484.0,,*,,,508.0,,Marino Institute of Education,Education,*,NaN,*
CM002,CM,Education - Primary Teaching - Gaeltacht Applicant,421.0,440.0,,,,,#,462.0,,Marino Institute of Education,Education,#,#,#
CM003,CM,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,491.0,506.0,528.0,,,,#,513.0,,Marino Institute of Education,Education,#,#,#
CM004,CM,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,492.0,569.0,494.0,,,,#,480.0,,Marino Institute of Education,Education,#,#,#
CM010,CM,Education Studies,317.0,373.0,319.0,,,,,382.0,327.0,Marino Institute of Education,Education,NaN,NaN,
CM020,CM,Early Childhood Education,336.0,363.0,327.0,,,,,317.0,,Marino Institute of Education,Education,NaN,NaN,
