,category,variable,value,year
580,Languages,points_r1_2019,370.0,2019
581,Arts,points_r1_2019,408.0,2019
582,Arts,points_r1_2019,400.0,2019
583,Social and behavioural sciences,points_r1_2019,402.0,2019
584,Education,points_r1_2019,401.0,2019
585,Physical sciences,points_r1_2019,,2019
586,,points_r1_2019,,2019
587,,points_r1_2019,,2019
588,Business and administration,points_r1_2019,420.0,2019
589,Business and administration,points_r1_2019,484.0,2019
590,Business and administration,points_r1_2019,489.0,2019
591,Business and administration,points_r1_2019,484.0,2019
592,Business and administration,points_r1_2019,431.0,2019
593,Business and administration,points_r1_2019,486.0,2019
594,Business and administration,points_r1_2019,473.0,2019
595,Business and administration,points_r1_2019,509.0,2019
596,Law,points_r1_2019,436.0,2019
597,Law,points_r1_2019,473.0,2019
598,Law,points_r1_2019,510.0,2019
599,Law,points_r1_2019,,2019
600,Law,points_r1_2019,,2019
601,Business and administration,points_r1_2019,486.0,2019
602,Business and administration,points_r1_2019,671.0,2019
603,Biological and related sciences,points_r1_2019,400.0,2019
604,Biological and related sciences,points_r1_2019,533.0,2019
605,Engineering and engineering trades,points_r1_2019,473.0,2019
606,Environment,points_r1_2019,413.0,2019
607,Mathematics and statistics,points_r1_2019,454.0,2019
608,Physical sciences,points_r1_2019,409.0,2019
609,Hygiene and occupational health services,points_r1_2019,402.0,2019
610,Physical sciences,points_r1_2019,402.0,2019
611,Biological and related sciences,points_r1_2019,510.0,2019
612,Mathematics and statistics,points_r1_2019,456.0,2019
613,Physical sciences,points_r1_2019,401.0,2019
614,Biological and related sciences,points_r1_2019,,2019
615,,points_r1_2019,,2019
616,Information and Communication Technologies (ICTs),points_r1_2019,425.0,2019
617,Engineering and engineering trades,points_r1_2019,444.0,2019
618,Architecture and construction,points_r1_2019,509.0,2019
