,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
308,Information and Communication Technologies (ICTs),Computing (Software Development),DB503,,,225,,,,,8,Dublin Business School,,avp,
309,Information and Communication Technologies (ICTs),Computing (Web and Mobile Technology),DB504,,,,,,,,8,Dublin Business School,,avp,
310,Arts,Audio Production and Music Project Management,DB510,,,,,,,,8,Dublin Business School,,avp,
311,Business and administration,Business Studies,DB512,,,,,,,,8,Dublin Business School,,avp,
312,Business and administration,Business Studies (Law),DB514,,,,,,,,8,Dublin Business School,,avp,
313,Business and administration,Business Studies (Human Resource Management),DB515,,,244,,,,,8,Dublin Business School,,avp,
314,Business and administration,Financial Services,DB516,,,,,,,,8,Dublin Business School,,,
315,Business and administration,Marketing (Event Management),DB517,,,,,,,,8,Dublin Business School,,avp,
316,Business and administration,Accounting and Finance,DB521,,,,,,,,8,Dublin Business School,,avp,
317,Information and Communication Technologies (ICTs),Business (Information Systems),DB524,,,,,,,,8,Dublin Business School,,avp,
318,Information and Communication Technologies (ICTs),Business (Cloud Computing),DB526,,,,,,,,8,Dublin Business School,,avp,
319,Social and behavioural sciences,Applied Social Care,DB527,,,,,,,,8,Dublin Business School,,avp,
321,Business and administration,Marketing,DB531,,,,,,,,8,Dublin Business School,,avp,
323,Social and behavioural sciences,Psychology,DB562,,,,,,,,8,Dublin Business School,,avp,
325,Social and behavioural sciences,Social Science,DB566,,,,,,,,8,Dublin Business School,,avp,
326,Arts,Film and Creative Media,DB567,,,,,,,,8,Dublin Business School,,avp,
327,Law,Law,DB568,,,,,,,,8,Dublin Business School,,avp,
328,Business and administration,Business (Psychology),DB569,,,,,,,,8,Dublin Business School,,avp,
334,Education,Education - Early Childhood Education,DC001,,,,,,,,8,Dublin City University,,,
335,Education,Education - Primary Teaching,DC002,,,,,,,,8,Dublin City University,,,
336,Education,Education - Primary Teaching - Gaeltacht Applicants,DC003,,,,,,,,8,Dublin City University,#,,
337,Education,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,,,,,,,,8,Dublin City University,#,,
338,Arts,Arts (Joint Honours) - Humanities,DC009,,,,,,,,8,Dublin City University,,,
339,Education,Post Primary Teacher Education - Religious Education and English,DC010,,,,,,,,8,Dublin City University,,,
340,Education,Post Primary Teacher Education - Religious Education and History,DC011,,,,,,,,8,Dublin City University,,,
341,Education,Post Primary Teacher Education - Religious Education and Music,DC012,,,,,,,,8,Dublin City University,#,,
342,Education,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,,,,,,,,8,Dublin City University,,,
343,Arts,BA in Jazz and Contemporary Music Performance (audition),DC014,,,,,,,,8,Dublin City University,#,,
344,Languages,Business Studies International,DC110,,,,,,,,8,Dublin City University,,,
345,Business and administration,Business Studies,DC111,,,,,,,,8,Dublin City University,,,
346,Business and administration,Global Business (France),DC112,,,,,,,,8,Dublin City University,,,
