code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category
DB501,DB,Computing (Cloud Computing),326 ,329,227,227,,,,,178,Dublin Business School,Information and Communication Technologies (ICTs)
DB502,DB,Computing (Data Analytics and Big Data),269 ,269,341,341,,,,267,233,Dublin Business School,Information and Communication Technologies (ICTs)
DB503,DB,Computing (Software Development),242 ,282,225,225,,,,,,Dublin Business School,Information and Communication Technologies (ICTs)
DB504,DB,Computing (Web and Mobile Technology),227 ,269,,281,,,,,,Dublin Business School,Information and Communication Technologies (ICTs)
DB510,DB,Audio Production and Music Project Management,233 ,293,234,223,,,,217,217,Dublin Business School,Arts
DB512,DB,Business Studies,229 ,301,218,203,,,,243,210,Dublin Business School,Business and administration
DB514,DB,Business Studies (Law),269 ,337,252,,,,,239,225,Dublin Business School,Business and administration
DB515,DB,Business Studies (Human Resource Management),225 ,288,244,244,,,,242,217,Dublin Business School,Business and administration
DB517,DB,Marketing (Event Management),226 ,327,238,,,,,233,225,Dublin Business School,Business and administration
DB518,DB,Marketing (Digital Media),210 ,289,,,,,,307,209,Dublin Business School,
DB521,DB,Accounting and Finance,225 ,271,225,195,,,,243,228,Dublin Business School,Business and administration
DB524,DB,Business (Information Systems),402 ,402,342,309,,,,247,239,Dublin Business School,Information and Communication Technologies (ICTs)
DB525,DB,Marketing (Digital Media and Cloud Computing),284 ,309,,,,,,288,288,Dublin Business School,
DB526,DB,Business (Cloud Computing),253 ,288,347,,,,,244,244,Dublin Business School,Information and Communication Technologies (ICTs)
DB527,DB,Applied Social Care,235 ,288,234,260,,,,254,219,Dublin Business School,Social and behavioural sciences
DB531,DB,Marketing,220 ,288,293,,,,,288,176,Dublin Business School,Business and administration
DB562,DB,Psychology,208 ,310,243,229,,,,244,233,Dublin Business School,Social and behavioural sciences
DB566,DB,Social Science,216 ,308,220,227,,,,262,228,Dublin Business School,Social and behavioural sciences
DB567,DB,Film and Creative Media,192 ,295,218,202,,,,245,213,Dublin Business School,Arts
DB568,DB,Law,245 ,308,219,252,,,,254,228,Dublin Business School,Law
DB569,DB,Business (Psychology),279 ,338,252,,,,,240,240,Dublin Business School,Business and administration
DB516,DB,Financial Services,328 ,336,,,,,,,,Dublin Business School,Business and administration
DC001,DC,Education - Early Childhood Education,398 ,424,440,,,,,445,,Dublin City University,Education
DC002,DC,Education - Primary Teaching,462* ,485,488,,,,,518*,,Dublin City University,Education
DC003,DC,Education - Primary Teaching - Gaeltacht Applicant,#433 ,473,445,,,,#,#489,,Dublin City University,Education
DC004,DC,Education - Primary Teaching (Church of Ireland Ce,#,357,411,409,,,#,#451,,Dublin City University,Education
DC009,DC,Arts (Joint Honours) - Humanities,347 ,408,376,,,,,356,,Dublin City University,Arts
