code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category
TU862,TU,Computing with Artificial Intelligence Machine Lea,,,226,226,,,,262,,Technological University Dublin,Information and Communication Technologies (ICTs)
TU863,TU,Digital Forensics and Cyber Security,,,280,,,,,282,,Technological University Dublin,Information and Communication Technologies (ICTs)
TU864,TU,DNA and Forensic Analysis,,,400,390,,,,500,441,Technological University Dublin,Biological and related sciences
TU865,TU,Cloud Computing,,,226,,,,,235,,Technological University Dublin,Information and Communication Technologies (ICTs)
TU866,TU,Biomedical and Molecular Diagnostics,,,487,,,,,522,,Technological University Dublin,Health
TU867,TU,Biomedical Science,,,524,,,,,576,566*,Technological University Dublin,Health
TU868,TU,Clinical Measurement Science,,,510,,,,,542,,Technological University Dublin,Health
TU869,TU,Environmental Health,,,336,,,,,387,,Technological University Dublin,Hygiene and occupational health services
TU870,TU,Human Nutrition and Dietetics,,,578,,,,,601*,,Technological University Dublin,Health
TU871,TU,Optometry,,,509,,,,,532,,Technological University Dublin,Health
TU872,TU,Public Health Nutrition,,,491,,,,,487,,Technological University Dublin,Biological and related sciences
TU874,TU,Mathematical Sciences,,,341,,,,,294,294,Technological University Dublin,Mathematics and statistics
TU875,TU,Pharmaceutical Healthcare,,,400,,,,,451,,Technological University Dublin,Biological and related sciences
TU876,TU,Pharmaceutical Science,,,377,349,,,,445,,Technological University Dublin,Biological and related sciences
TU877,TU,Physics Technology,,,308,,,,,314,314,Technological University Dublin,Physical sciences
TU878,TU,Physics with Energy and Environment,,,337,337,,,,339,,Technological University Dublin,Physical sciences
TU879,TU,Physics with Medical Physics and Bioengineering,,,351,,,,,346,,Technological University Dublin,Health
TU880,TU,Physics with Data Science,,,578,,,,,412,,Technological University Dublin,Physical sciences
TU881,TU,Food Innovation,,,318,,,,,309,,Technological University Dublin,Manufacturing and processing
TU882,TU,Nutraceuticals in Health and Nutrition,,,397,,,,,380,,Technological University Dublin,Biological and related sciences
TU902,TU,Business (options),,,271,,,,,270,,Technological University Dublin,Business and administration
TU903,TU,Business and Management,,,463,,,,,477,,Technological University Dublin,Business and administration
TU904,TU,Business and Law,,,462,,,,,462,,Technological University Dublin,Business and administration
TU905,TU,Economics and Finance,,,465,,,,,460,,Technological University Dublin,Social and behavioural sciences
TU906,TU,Human Resource Management,,,395,,,,,386,377,Technological University Dublin,Business and administration
TU907,TU,Logistics and Supply Chain Management,,,300,,,,,300,,Technological University Dublin,Business and administration
TU910,TU,Accounting,,,444,,,,,420,,Technological University Dublin,Business and administration
TU912,TU,Business Analytics,,,330,,,,,331,311,Technological University Dublin,Information and Communication Technologies (ICTs)
TU914,TU,Business Computing,,,324,,,,,322,,Technological University Dublin,Information and Communication Technologies (ICTs)
TU917,TU,Law (LLB ) with a Language,,,342,,,,,356,,Technological University Dublin,Law
TU918,TU,Law (LLB),,,451,,,,,463,,Technological University Dublin,Law
TU919,TU,Advertising and Marketing Communications,,,228,226,,,,219,,Technological University Dublin,Business and administration
TU920,TU,Digital Marketing,,,270,,,,,270,,Technological University Dublin,Business and administration
TU921,TU,Digital Marketing Technologies,,,212,212,,,,230,,Technological University Dublin,Business and administration
TU922,TU,Marketing,,,418,,,,,412,,Technological University Dublin,Business and administration
TU924,TU,E-Commerce in Retailing,,,307,,,,,307,,Technological University Dublin,Business and administration
TU925,TU,Retail and Services Management,,,301,,,,,307,,Technological University Dublin,Business and administration
TU932,TU,Business (options),,,,,,,,211,,Technological University Dublin,
TU933,TU,Accounting and Finance (campus options),,,,,,,,251,,Technological University Dublin,
TU935,TU,Sports Management and Coaching,,,300,,,,,300,,Technological University Dublin,Personal services
TU936,TU,Sports Science and Health,,,410,391,,,,484,,Technological University Dublin,Biological and related sciences
TU941,TU,Botanical Cuisine,,,249,,,,,311,,Technological University Dublin,Personal services
TU942,TU,Culinary Arts,,,212,212,,,,252,,Technological University Dublin,Personal services
TU943,TU,Culinary Entrepreneurship,,,278,,,,,261,,Technological University Dublin,Personal services
TU944,TU,Culinary Science,,,316,,,,,336,,Technological University Dublin,Personal services
TU951,TU,International Hospitality and Tourism Management,,,184,184,,,,244,,Technological University Dublin,Personal services
TU952,TU,International Hospitality Management,,,300,,,,,309,,Technological University Dublin,Personal services
TU953,TU,Tourism and Digital Marketing,,,290,,,,,308,,Technological University Dublin,Personal services
TU954,TU,Event Management,,,356,,,,,326,,Technological University Dublin,Personal services
TU955,TU,Sports and Leisure Management,,,217,317,,,,275,,Technological University Dublin,Personal services
TU961,TU,Commercial Modern Music (BIMM - assessment/auditio,,,608,608,,,#,#536,#536,Technological University Dublin,Arts
TU962,TU,Drama (Performance  audition),,,379,,,,#,#448,,Technological University Dublin,Arts
TU963,TU,Music (audition),,,416,,,,#,#364,,Technological University Dublin,Arts
TU965,TU,International Business and Languages,,,356,346,,,,357,,Technological University Dublin,Business and administration
TU967,TU,Languages and International Tourism,,,308,,,,,298,,Technological University Dublin,Arts
TU973,TU,Design - Visual Communication (portfolio),,,717,,,,#,#700,,Technological University Dublin,Arts
TU974,TU,Fine Art (portfolio),,,709,563,,,#,#549,,Technological University Dublin,Arts
TU975,TU,Interior Design (portfolio),,,632,,,,#,#544,,Technological University Dublin,Arts
TU976,TU,Photography (portfolio),,,695,,,,#,#700,,Technological University Dublin,Arts
TU978,TU,Creative Industries and Visual Culture,,,,,,,,299,,Technological University Dublin,
TU981,TU,Creative Digital Media,,,280,,,,,280,,Technological University Dublin,Arts
TU982,TU,Media Production and Digital Arts,,,320,311,,,,369,,Technological University Dublin,Arts
TU983,TU,Film and Broadcasting,,,456,451,,,,462,453,Technological University Dublin,Arts
TU984,TU,Game Design,,,381,,,,,414,,Technological University Dublin,Information and Communication Technologies (ICTs)
TU985,TU,Journalism,,,322,,,,,367,,Technological University Dublin,Journalism and information
TU989,TU,Early Childhood Care and Education (campus options,,,,,,,,270,,Technological University Dublin,
TU991,TU,Applied Social Studies in Social Care,,,325,,,,,326,,Technological University Dublin,Welfare
TU992,TU,Community Development and Youth Work,,,251,,,,,251,,Technological University Dublin,Social and behavioural sciences
TU995,TU,Early Childhood Education,,,367,,,,,378,,Technological University Dublin,Education
TU996,TU,Social Care,,,400,,,,,407,,Technological University Dublin,Social and behavioural sciences
TU997,TU,Applied Social Care,,,310,283,,,,320,,Technological University Dublin,Welfare
TU803,TU,Electronic Engineering,,,243,243,,,,,,Technological University Dublin,Engineering and engineering trades
TU806,TU,Sustainable Energy Engineering,,,262,,,,,,,Technological University Dublin,Engineering and engineering trades
TU808,TU,Engineering Software,,,260,260,,,,,,Technological University Dublin,Engineering and engineering trades
TU809,TU,Mechanical Engineering,,,235,,,,,,,Technological University Dublin,Engineering and engineering trades
TU813,TU,Automation Engineering,,,218,218,,,,,,Technological University Dublin,Engineering and engineering trades
TU873,TU,Industrial Mathematics,,,250,250,,,,,,Technological University Dublin,Mathematics and statistics
TU901,TU,Business,,,270,,,,,,,Technological University Dublin,Business and administration
TU908,TU,Management,,,262,253,,,,,,Technological University Dublin,Business and administration
TU909,TU,Accounting and Finance,,,285,,,,,,,Technological University Dublin,Business and administration
TU911,TU,Accounting and Finance,,,209,192,,,,,,Technological University Dublin,Business and administration
TU913,TU,Business and Information Technology,,,252,,,,,,,Technological University Dublin,Business and administration
TU915,TU,International Business,,,252,,,,,,,Technological University Dublin,Business and administration
TU916,TU,International Business,,,235,235,,,,,,Technological University Dublin,Business and administration
TU923,TU,Marketing Management,,,228,276,,,,,,Technological University Dublin,Business and administration
TU966,TU,Languages and English Studies,,,366,,,,,,,Technological University Dublin,Languages
TU971,TU,Contemporary Visual Culture,,,290,,,,,,,Technological University Dublin,Arts
TU972,TU,Creative and Cultural Industries,,,281,,,,,,,Technological University Dublin,Arts
TU986,TU,Print Media Technology and Management,,,289,,,,,,,Technological University Dublin,Business and administration
TU993,TU,Early Childhood Care and Education,,,270,,,,,,,Technological University Dublin,Welfare
TU994,TU,Early Childhood Care and Education,,,321,251,,,,,,Technological University Dublin,Welfare
WD001,WD,Applied Computing (options),279 ,358,260,260,,,,270,261,Waterford Institute of Technology,Information and Communication Technologies (ICTs)
WD002,WD,Science (options),302 ,377,308,,,,,279,,Waterford Institute of Technology,Physical sciences
WD005,WD,Health Sciences (options),288 ,347,280,,,,,271,,Waterford Institute of Technology,Health
WD006,WD,Exercise Sciences (options),282 ,337,280,,,,,270,,Waterford Institute of Technology,Personal services
WD007,WD,Engineering (options),287 ,382,288,288,,,,270,270,Waterford Institute of Technology,Engineering and engineering trades
WD025,WD,Construction Management and Engineering,269 ,327,269,,,,,262,,Waterford Institute of Technology,Architecture and construction
WD027,WD,Music,#290 ,317,262,,,,#,#321,,Waterford Institute of Technology,Arts
WD048,WD,Business (options),278 ,357,271,,,,,279,,Waterford Institute of Technology,Business and administration
WD084,WD,Accounting,307 ,403,308,,,,,308,,Waterford Institute of Technology,Business and administration
WD091,WD,Hospitality Management,210 ,281,228,,,,,225,,Waterford Institute of Technology,Personal services
WD116,WD,General Nursing,413 ,430,422,,,,,446,,Waterford Institute of Technology,Health
WD117,WD,Psychiatric Nursing,361 ,382,366,,,,,415,,Waterford Institute of Technology,Health
WD120,WD,Intellectual Disability Nursing,338 ,359,377,,,,,390,,Waterford Institute of Technology,Health
WD134,WD,International Business,289 ,350,290,,,,,267,,Waterford Institute of Technology,Business and administration
WD137,WD,Design (Visual Communications),253 ,373,271,,,,,252,,Waterford Institute of Technology,Arts
WD140,WD,Laws,290 ,352,280,,,,,280,,Waterford Institute of Technology,Law
WD144,WD,Architecture,283 ,385,284,,,,,309,,Waterford Institute of Technology,Architecture and construction
WD147,WD,Pharmaceutical Science,298 ,363,293,,,,,288,,Waterford Institute of Technology,Physical sciences
WD150,WD,Criminal Justice Studies,271 ,311,270,,,,,280,,Waterford Institute of Technology,Law
WD152,WD,Visual Art,253 ,323,AQA,,,,,243,,Waterford Institute of Technology,Arts
WD161,WD,Computer Forensics and Security,262 ,401,255,,,,,270,,Waterford Institute of Technology,Information and Communication Technologies (ICTs)
WD162,WD,Quantity Surveying,260 ,320,216,,,,,226,,Waterford Institute of Technology,Architecture and construction
WD163,WD,Psychology,390 ,429,434,,,,,456,,Waterford Institute of Technology,Social and behavioural sciences
WD186,WD,Sports Coaching and Performance,276 ,327,270,,,,,261,,Waterford Institute of Technology,Personal services
WD187,WD,Social Science,271 ,321,272,,,,,276,,Waterford Institute of Technology,Welfare
WD191,WD,Agricultural Science,378 ,421,377,,,,,377,,Waterford Institute of Technology,Agriculture
WD192,WD,Social Care Practice,279 ,323,270,,,,,271,,Waterford Institute of Technology,Welfare
WD193,WD,Marketing and Digital Media,290 ,358,271,,,,,279,,Waterford Institute of Technology,Business and administration
WD194,WD,Culinary Arts,235 ,331,217,,,,,237,,Waterford Institute of Technology,Personal services
WD195,WD,Architectural and Building Information Modelling T,266 ,305,279,,,,,279,,Waterford Institute of Technology,Architecture and construction
WD200,WD,Arts (options),221 ,296,AQA,AQA,,,,201,201,Waterford Institute of Technology,Arts
WD210,WD,Software Systems Development,271 ,329,279,,,,,260,,Waterford Institute of Technology,Information and Communication Technologies (ICTs)
WD211,WD,Creative Computing,275 ,322,271,,,,,270,,Waterford Institute of Technology,Information and Communication Technologies (ICTs)
WD212,WD,Recreation and Sport Management,274 ,311,270,,,,,262,,Waterford Institute of Technology,Personal services
WD230,WD,Mechanical and Manufacturing Engineering,273 ,348,253,,,,,230,230,Waterford Institute of Technology,Engineering and engineering trades
WD231,WD,Early Childhood Care and Education,,,,,,,,266,,Waterford Institute of Technology,
WD232,WD,Business Information Systems,,,,,,,,261,261,Waterford Institute of Technology,
WD149,WD,Early Childhood Studies,288 ,336,271,,,,,,,Waterford Institute of Technology,Welfare
WD148,WD,Tourism Marketing ,269 ,338,,,,,,,,Waterford Institute of Technology,
