,2021,,,,,,,,,2020,,,,,,,,eos,mid,,,,,
COURSE CODE2,COURSE TITLE,r1,r2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
CK401,Computer Science,503,495,,,,,,,Physical sciences,Instrument Engineering,CR360,261,,,,261,,388,8,Cork Institute of Technology,,,
CK402,Biological and Chemical Sciences,555*,555,,,,,,,Environment,Environmental Science and Sustainable Technology,CR365,253,,,,253,,341,8,Cork Institute of Technology,,,
CK404,Biological  Earth and Environmental Sciences,500,495*,,,,,,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,CR370,397,,,,397,,453,8,Cork Institute of Technology,,,
CK405,Genetics,543,,,,,,,,Business and administration,Accounting,CR400,316,,,,316,,413,8,Cork Institute of Technology,,,
CK406,Chemical Sciences,532,,,,,,,,Business and administration,Marketing,CR420,285,,,,285,,346,8,Cork Institute of Technology,,,
CK407,Mathematical Sciences,566,,,,,,,,Business and administration,International Business with Language,CR425,298,,,,298,,412,8,Cork Institute of Technology,,,
CK408,Physics and Astrophysics,566,,,,,,,,Personal services,Sport and Exercise Management,CR430,322,,,,322,,407,8,Cork Institute of Technology,,,
CK409,Industrial Physics - Offered jointly by UCC and CI,465,,,,,,,,Education,Montessori Education,CR440,288,,,,288,,362,8,Cork Institute of Technology,,,
CK411,Data Science and Analytics,531,,,,,,,,Engineering and engineering trades,Engineering (Common Entry),CR500,411,,,,411,,465,8,Cork Institute of Technology,,,
CK412,Agricultural Science,506,,,,,,,,Environment,Sustainable Energy Engineering,CR510,320,,,,320,,389,8,Cork Institute of Technology,,,
CK504,Nutritional Sciences,555,554*,,,,,,,Health,Biomedical Engineering,CR520,444,,,,444,,488,8,Cork Institute of Technology,,,
CK505,Food Science,463,,,,,,,,Architecture and construction,Architectural Technology,CR560,308,,,,308,,377,8,Cork Institute of Technology,,,
CK600,Engineering,510,509*,,,,,,,Architecture and construction,Interior Architecture,CR565,359,,,,359,,423,8,Cork Institute of Technology,,,
CK606,Architecture - Offered jointly by UCC and CIT,543,,,,,,,,Architecture and construction,Quantity Surveying,CR570,336,,,,336,,392,8,Cork Institute of Technology,,,
CK701,Medicine (Undergraduate Entry - HPAT required),#738,#737*,,,,,,,Architecture and construction,Construction Management,CR572,269,,,,269,,318,8,Cork Institute of Technology,,,
